Version,Bundling/Dropping Time (ms),Energy (J)
acrylicPaintDropping-GM2,30,6.0217190977
acrylicPaintDropping-GM2,30,6.1785916048
acrylicPaintDropping-GM2,30,6.2422559997
acrylicPaintDropping-GM2,30,6.0921005194
acrylicPaintDropping-GM2,30,5.9278540773
acrylicPaintDropping-GM2,30,6.1212532054
acrylicPaintDropping-GM2,30,6.1654533485
acrylicPaintDropping-GM2,30,6.0522347663
acrylicPaintDropping-GM2,30,6.039529486
acrylicPaintDropping-GM2,30,6.1082753997
acrylicPaintDropping-GM2,30,6.3093484056
acrylicPaintDropping-GM2,30,6.0275361714
acrylicPaintDropping-GM2,30,6.1641595385
acrylicPaintDropping-GM2,30,6.2343803187
acrylicPaintDropping-GM2,30,5.8647957141
acrylicPaintDropping-GM2,30,6.0385119025
acrylicPaintDropping-GM2,100,6.1271103279
acrylicPaintDropping-GM2,100,5.655899863
acrylicPaintDropping-GM2,100,5.881724049
acrylicPaintDropping-GM2,100,5.6192001806
acrylicPaintDropping-GM2,100,5.5503906241
acrylicPaintDropping-GM2,100,5.6044154732
acrylicPaintDropping-GM2,100,5.6166232609
acrylicPaintDropping-GM2,100,5.5459383274
acrylicPaintDropping-GM2,100,5.6215017326
acrylicPaintDropping-GM2,100,5.6826795713
acrylicPaintDropping-GM2,100,5.5481008852
acrylicPaintDropping-GM2,100,5.6870614625
acrylicPaintDropping-GM2,100,5.7383170527
acrylicPaintDropping-GM2,100,5.6639662141
acrylicPaintDropping-GM2,100,5.5180170598
acrylicPaintDropping-GM2,100,5.4295321897
acrylicPaintDropping-GM2,100,5.8251022102
acrylicPaintDropping-GM2,100,5.593904065
acrylicPaintDropping-GM2,100,5.5768095542
acrylicPaintOriginal-GM2,100,6.4121628871
acrylicPaintOriginal-GM2,100,6.2844389223
acrylicPaintOriginal-GM2,100,6.2170101199
acrylicPaintOriginal-GM2,100,6.4456881019
acrylicPaintOriginal-GM2,100,6.4842950532
acrylicPaintOriginal-GM2,100,6.4176316172
acrylicPaintOriginal-GM2,100,6.46678277
acrylicPaintOriginal-GM2,100,6.4697830182
acrylicPaintOriginal-GM2,100,6.1893117173
acrylicPaintOriginal-GM2,100,6.2773743139
acrylicPaintOriginal-GM2,100,6.3820127915
acrylicPaintOriginal-GM2,100,6.3047327697
acrylicPaintOriginal-GM2,100,6.3420183945
acrylicPaintOriginal-GM2,100,6.2663833423
acrylicPaintOriginal-GM2,100,6.2724114544
acrylicPaintOriginal-GM2,100,6.3871512034
acrylicPaintOriginal-GM2,100,6.2633507
acrylicPaintOriginal-GM2,100,6.2613095443
acrylicPaintOriginal-GM2,100,6.1598256741
acrylicPaintOriginal-GM2,100,6.1560362906
acrylicPaintBundling-GM2,100,5.511492171
acrylicPaintBundling-GM2,100,5.5858488356
acrylicPaintBundling-GM2,100,5.3509270481
acrylicPaintBundling-GM2,100,5.7383262917
acrylicPaintBundling-GM2,100,5.5249152943
acrylicPaintBundling-GM2,100,5.4126881859
acrylicPaintBundling-GM2,100,5.7210951881
acrylicPaintBundling-GM2,100,5.6565001476
acrylicPaintBundling-GM2,100,5.5573290814
acrylicPaintBundling-GM2,100,5.8980847921
acrylicPaintBundling-GM2,100,5.6118489545
acrylicPaintBundling-GM2,100,5.4626065569
acrylicPaintBundling-GM2,100,5.5461182316
acrylicPaintBundling-GM2,100,5.6033219261
acrylicPaintBundling-GM2,100,5.6879773732
acrylicPaintBundling-GM2,100,5.6363216859
acrylicPaintBundling-GM2,100,5.3855054716
acrylicPaintBundling-GM2,100,5.6581118462
acrylicPaintBundling-GM2,100,5.6484529757
acrylicPaintBundling-GM2,100,5.5981317474
acrylicPaintBundling-GM2,100,5.7467645731
acrylicPaintBundling-GM2,100,5.6032877769
acrylicPaintBundling-GM2,100,5.6006876288
acrylicPaintBundling-GM2,100,5.4623610406
acrylicPaintBundling-GM2,100,5.3284963135
acrylicPaintBundling-GM2,100,5.6616422475
acrylicPaintBundling-GM2,100,5.7604502061
acrylicPaintBundling-GM2,100,5.4834707047
acrylicPaintBundling-GM2,100,5.2905236492
acrylicPaintBundling-GM2,100,5.5755715227
acrylicPaintBundling-GM2,100,5.509902791
acrylicPaintBundling-GM2,100,5.5984167747
acrylicPaintBundling-GM2,200,5.2902305615
acrylicPaintBundling-GM2,200,5.3863293119
acrylicPaintBundling-GM2,200,5.5799299139
acrylicPaintBundling-GM2,200,5.4711952912
acrylicPaintBundling-GM2,200,5.4863842266
acrylicPaintBundling-GM2,200,5.4468056006
acrylicPaintBundling-GM2,200,5.3124024808
acrylicPaintBundling-GM2,200,5.4904253864
acrylicPaintBundling-GM2,200,5.341224039
acrylicPaintBundling-GM2,200,5.4552828904
acrylicPaintBundling-GM2,200,5.4386562893
acrylicPaintBundling-GM2,200,5.6607190957
acrylicPaintBundling-GM2,200,5.3784844441
acrylicPaintBundling-GM2,200,5.2371359196
acrylicPaintBundling-GM2,200,5.5964106159
acrylicPaintBundling-GM2,200,5.3154750354
acrylicPaintBundling-GM2,200,5.5380715983
acrylicPaintBundling-GM2,200,5.3903563722
acrylicPaintBundling-GM2,200,5.698841717
acrylicPaintBundling-GM2,200,5.4877326012
acrylicPaintOriginal-GM2,200,6.4121628871
acrylicPaintOriginal-GM2,200,6.2844389223
acrylicPaintOriginal-GM2,200,6.2170101199
acrylicPaintOriginal-GM2,200,6.4456881019
acrylicPaintOriginal-GM2,200,6.4842950532
acrylicPaintOriginal-GM2,200,6.4176316172
acrylicPaintOriginal-GM2,200,6.46678277
acrylicPaintOriginal-GM2,200,6.4697830182
acrylicPaintOriginal-GM2,200,6.1893117173
acrylicPaintOriginal-GM2,200,6.2773743139
acrylicPaintOriginal-GM2,200,6.3820127915
acrylicPaintOriginal-GM2,200,6.3047327697
acrylicPaintOriginal-GM2,200,6.3420183945
acrylicPaintOriginal-GM2,200,6.2663833423
acrylicPaintOriginal-GM2,200,6.2724114544
acrylicPaintOriginal-GM2,200,6.3871512034
acrylicPaintOriginal-GM2,200,6.2633507
acrylicPaintOriginal-GM2,200,6.2613095443
acrylicPaintOriginal-GM2,200,6.1598256741
acrylicPaintOriginal-GM2,200,6.1560362906
acrylicPaintDropping-GM2,200,5.826459199
acrylicPaintDropping-GM2,200,5.347928324
acrylicPaintDropping-GM2,200,5.4734043623
acrylicPaintDropping-GM2,200,5.3577333776
acrylicPaintDropping-GM2,200,5.3734807363
acrylicPaintDropping-GM2,200,5.4986292572
acrylicPaintDropping-GM2,200,5.5753606046
acrylicPaintDropping-GM2,200,5.4102534435
acrylicPaintDropping-GM2,200,5.6269977128
acrylicPaintDropping-GM2,200,5.3380110148
acrylicPaintDropping-GM2,200,5.4432336388
acrylicPaintDropping-GM2,200,5.6858491396
acrylicPaintDropping-GM2,200,5.2700008924
acrylicPaintDropping-GM2,200,5.4991228421
acrylicPaintDropping-GM2,200,5.5197923945
acrylicPaintDropping-GM2,200,5.4707975307
acrylicPaintDropping-GM2,200,5.2768943772
acrylicPaintDropping-GM2,200,5.4912954536
acrylicPaintDropping-GM2,200,5.3711065395
acrylicPaintDropping-GM2,200,5.3805174967
acrylicPaintDropping-GM2,500,5.3785117626
acrylicPaintDropping-GM2,500,5.4778374319
