Version,Bundling/Dropping Time (ms),Energy (J)
colorPickerOriginal,200,66.3851869644
colorPickerOriginal,200,65.9303235366
colorPickerOriginal,200,65.0702508968
colorPickerOriginal,200,66.4984527236
colorPickerOriginal,200,66.334721365
colorPickerOriginal,200,65.5612081554
colorPickerOriginal,200,67.2660914624
colorPickerOriginal,200,65.244684948
colorPickerOriginal,200,65.6694707102
colorPickerOriginal,200,65.679038024
colorPickerOriginal,200,65.7005928156
colorPickerOriginal,200,64.3564197412
colorPickerOriginal,200,65.4611244832
colorPickerOriginal,200,65.0078338166
colorPickerOriginal,200,65.9823022356
colorPickerOriginal,200,67.6086987064
colorPickerOriginal,200,65.8662159282
colorPickerBundling,500,60.3459107118
colorPickerBundling,500,60.4163225426
colorPickerBundling,500,60.8623446518
colorPickerBundling,500,59.0016234408
colorPickerBundling,500,60.4087825152
colorPickerBundling,500,60.6643122334
colorPickerBundling,500,59.6303108722
colorPickerBundling,500,60.2493623276
colorPickerBundling,500,60.3523890708
colorPickerBundling,500,60.6072817556
colorPickerBundling,500,60.2581029814
colorPickerBundling,500,60.041525948
colorPickerBundling,500,62.439925005
colorPickerBundling,500,61.0212986298
colorPickerBundling,500,62.6024293386
colorPickerBundling,500,59.0842913054
colorPickerBundling,500,60.7418343844
colorPickerBundling,500,60.5048877582
colorPickerBundling,500,60.564452889
colorPickerBundling,500,60.539436776
colorPickerBundling,500,60.2314642552
colorPickerBundling,500,60.446041591
colorPickerBundling,500,60.5654440684
colorPickerBundling,500,60.576450406
colorPickerBundling,500,60.307883513
colorPickerBundling,500,59.6862832848
colorPickerBundling,500,60.299197205
colorPickerBundling,500,59.9169370934
colorPickerBundling,500,60.1606313656
colorPickerBundling,500,62.1196279094
colorPickerBundling,500,60.69442098
colorPickerBundling,500,60.554608376
colorPickerBundling,500,60.4272626148
colorPickerBundling,500,59.0193719016
colorPickerBundling,500,59.7226104132
colorPickerBundling,500,59.8253337198
colorPickerBundling,500,60.097200627
colorPickerBundling,500,58.9865088646
colorPickerBundling,500,59.9870440834
colorPickerDropping,500,60.4898516706
colorPickerDropping,500,60.8246002522
colorPickerDropping,500,60.4551879456
colorPickerDropping,500,60.7703936832
colorPickerDropping,500,60.0969815
colorPickerDropping,500,59.8534151958
colorPickerDropping,500,60.1132770244
colorPickerDropping,500,61.0726626254
colorPickerDropping,500,60.2937317182
colorPickerDropping,500,59.8555459418
colorPickerDropping,500,59.8851476874
colorPickerDropping,500,59.8986446282
colorPickerDropping,500,60.5095340536
colorPickerDropping,500,59.537662973
colorPickerDropping,500,59.9262331454
colorPickerDropping,500,62.355649885
colorPickerDropping,500,60.6349038566
colorPickerDropping,500,60.7757549728
colorPickerDropping,500,60.499961063
colorPickerDropping,500,60.0185705296
colorPickerDropping,500,60.4776084738
colorPickerDropping,500,60.176652095
colorPickerDropping,500,59.9925282472
colorPickerDropping,500,58.4784727258
colorPickerDropping,500,60.2785334856
colorPickerDropping,500,60.4578939198
colorPickerDropping,500,60.3146820258
colorPickerDropping,500,59.393638858
colorPickerDropping,500,60.0577525542
colorPickerDropping,500,59.7744202062
colorPickerDropping,500,59.1639562894
colorPickerDropping,500,60.0233849508
colorPickerDropping,500,60.3430904228
colorPickerDropping,500,60.324880352
colorPickerDropping,500,61.1684353852
colorPickerDropping,500,60.9031728192
colorPickerDropping,500,60.3812176568
colorPickerDropping,500,60.9013158576
colorPickerDropping,500,59.6081858556
colorPickerOriginal,500,65.9296818446
colorPickerOriginal,500,66.7208384218
colorPickerOriginal,500,66.1396949752
colorPickerOriginal,500,65.5218868366
colorPickerOriginal,500,67.4234353826
colorPickerOriginal,500,66.469172415
colorPickerOriginal,500,67.148678397
colorPickerOriginal,500,66.7967960098
colorPickerOriginal,500,65.8270710714
colorPickerOriginal,500,62.7347457154
colorPickerOriginal,500,65.2371219546
colorPickerOriginal,500,66.4406221002
colorPickerOriginal,500,65.6887116424
colorPickerOriginal,500,66.0534273496
colorPickerOriginal,500,67.6901160474
colorPickerOriginal,500,63.5087100016
colorPickerOriginal,500,66.0145499704
colorPickerOriginal,500,65.0787746944
colorPickerOriginal,500,66.831426952
colorPickerOriginal,500,67.7012956958
colorPickerOriginal,500,66.1242811
colorPickerOriginal,500,65.5983433474
colorPickerOriginal,500,66.2506375284
colorPickerOriginal,500,66.3851869644
colorPickerOriginal,500,65.9303235366
colorPickerOriginal,500,65.0702508968
colorPickerOriginal,500,66.4984527236
colorPickerOriginal,500,66.334721365
colorPickerOriginal,500,65.5612081554
colorPickerOriginal,500,67.2660914624
colorPickerOriginal,500,65.244684948
colorPickerOriginal,500,65.6694707102
colorPickerOriginal,500,65.679038024
colorPickerOriginal,500,65.7005928156
colorPickerOriginal,500,64.3564197412
colorPickerOriginal,500,65.4611244832
colorPickerOriginal,500,65.0078338166
colorPickerOriginal,500,65.9823022356
colorPickerOriginal,500,67.6086987064
colorPickerOriginal,500,65.8662159282
colorPickerDropping,1000,55.1652225188
colorPickerDropping,1000,56.0963071856
colorPickerDropping,1000,55.0323895372
colorPickerDropping,1000,55.063709323
colorPickerDropping,1000,55.5462043512
colorPickerDropping,1000,56.444464944
colorPickerDropping,1000,55.780284813
colorPickerDropping,1000,54.8421230006
colorPickerDropping,1000,56.9953625624
colorPickerDropping,1000,55.8517836712
colorPickerDropping,1000,56.0677025644
colorPickerDropping,1000,56.7700124538
colorPickerDropping,1000,55.92302237
colorPickerDropping,1000,55.581206637
colorPickerDropping,1000,54.9112802904
colorPickerDropping,1000,54.8129356658
colorPickerDropping,1000,55.9882316632
colorPickerDropping,1000,55.6258008054
colorPickerDropping,1000,55.9045434976
colorPickerDropping,1000,55.9236589754
colorPickerDropping,1000,56.4234982824
colorPickerDropping,1000,54.8484428876
colorPickerDropping,1000,55.489122548
colorPickerDropping,1000,55.5649926404
colorPickerDropping,1000,54.9403194228
colorPickerDropping,1000,56.0746113556
colorPickerDropping,1000,55.7262705322
colorPickerDropping,1000,55.5918756444
colorPickerDropping,1000,55.8759736004
colorPickerDropping,1000,55.666741829
colorPickerDropping,1000,56.0064587618
colorPickerDropping,1000,55.167175221
colorPickerDropping,1000,55.6935717744
colorPickerDropping,1000,54.9608346748
colorPickerDropping,1000,54.3684408674
colorPickerDropping,1000,55.8803196506
colorPickerDropping,1000,55.4238606322
colorPickerDropping,1000,55.964120149
colorPickerDropping,1000,55.5107953626
colorPickerDropping,1000,54.5774106714
colorPickerBundling,1000,56.5595135354
colorPickerBundling,1000,56.300663691
colorPickerBundling,1000,56.8620805484
colorPickerBundling,1000,56.40944533
colorPickerBundling,1000,55.6436940418
colorPickerBundling,1000,56.4402076296
colorPickerBundling,1000,55.1396853724
colorPickerBundling,1000,56.2831112844
colorPickerBundling,1000,56.0041366808
colorPickerBundling,1000,55.6508515394
colorPickerBundling,1000,56.0624233378
colorPickerBundling,1000,55.0180973808
colorPickerBundling,1000,56.0404892824
colorPickerBundling,1000,55.852820549
colorPickerBundling,1000,55.8691481444
colorPickerBundling,1000,55.5251554936
colorPickerBundling,1000,56.785902015
colorPickerBundling,1000,56.5860719704
colorPickerBundling,1000,55.7481007722
colorPickerBundling,1000,56.4569747366
colorPickerBundling,1000,56.4305397356
colorPickerBundling,1000,56.5394819992
colorPickerBundling,1000,55.7776079584
colorPickerBundling,1000,56.0829081348
colorPickerBundling,1000,56.551553498
colorPickerBundling,1000,55.8933640606
colorPickerBundling,1000,55.567702374
colorPickerBundling,1000,55.6030136106
colorPickerBundling,1000,56.0338721844
colorPickerBundling,1000,56.8494354496
colorPickerBundling,1000,56.2101540578
